blocks 168
153 0x0FB80  0x8001F380 sz=0x14   n=5          | lui $a0, %hi(D_8009D200)     | addu $a1, $zero, $zero
154 0x0FB94  0x8001F394 sz=0x14   n=5          | addu $a2, $zero, $zero       | sw $zero, 0x14($sp)
155 0x0FBA8  0x8001F3A8 sz=0x8    n=2          | lui $at, %hi(D_8009D200)     | sw $s0, %lo(D_8009D200)($at)
156 0x0FBB0  0x8001F3B0 sz=0x14   n=5   .L8001F3B0 | lui $a0, %hi(D_8009D2FC)     | addu $a1, $zero, $zero
157 0x0FBC4  0x8001F3C4 sz=0x14   n=5          | addu $a2, $zero, $zero       | sw $zero, 0x14($sp)
158 0x0FBD8  0x8001F3D8 sz=0x8    n=2          | lui $at, %hi(D_8009D2FC)     | sw $s0, %lo(D_8009D2FC)($at)
159 0x0FBE0  0x8001F3E0 sz=0x8    n=2   .L8001F3E0 | jal func_80021D4C            | nop 
160 0x0FBE8  0x8001F3E8 sz=0x50   n=20         | addiu $a0, $zero, 0x46B      | sw $v0, 0x10($sp)
161 0x0FC38  0x8001F438 sz=0x10   n=4          | lui $at, %hi(D_8009D244)     | nop 
162 0x0FC48  0x8001F448 sz=0x18   n=6          | lui $v0, %hi(D_800BCF88)     | addiu $a2, $zero, -0x5
163 0x0FC60  0x8001F460 sz=0x8    n=2          | jal func_80067CBC            | nop 
164 0x0FC68  0x8001F468 sz=0x4    n=1          | addiu $a2, $zero, -0x5       | addiu $a2, $zero, -0x5
165 0x0FC6C  0x8001F46C sz=0x38   n=14  .L8001F46C | lui $a0, %hi(D_8009D254)     | addiu $a1, $zero, 0x13
166 0x0FCA4  0x8001F4A4 sz=0x10   n=4          | lui $v0, %hi(D_8009D278)     | sh $zero, 0xC($v0)
167 0x0FCB4  0x8001F4B4 sz=0x20   n=8   .L8001F4B4 | lw $ra, 0x320($sp)           | nop 
