index,index_hex,rw,operation,value,value_hex,scene,table_index,module,script_pc,handler,opcode,modes,args,src_bank,dst_bank,alu_desc,signedness,branch_consequence,notes
24,0x18,read,alu_or,1,0x1,m0005i,4,3,+0x27E4,0x80012850,0x09,0 3 2 0,0x2 0x1 0x18 0x1,persist,cond,dst = a | b,u32,,a
24,0x18,write,assign,,,m0005i,4,3,+0x27FC,0x800173F4,0x0A,2 3,0x18 0x1,cond,persist,,,,
1,0x1,write,assign,5,0x5,m0005i,4,3,+0x2834,0x800173F4,0x0A,2 0,0x1 0x5,imm,persist,,,,
24,0x18,read,alu_and,4294967294,0xFFFFFFFE,m0005i,4,3,+0x28D0,0x80012850,0x09,0 3 2 0,0x3 0x1 0x18 0xFFFFFFFE,persist,cond,dst = a & b,u32,,a
24,0x18,write,assign,,,m0005i,4,3,+0x28E8,0x800173F4,0x0A,2 3,0x18 0x1,cond,persist,,,,
1,0x1,write,assign,5,0x5,m0005i,4,3,+0x2920,0x800173F4,0x0A,2 0,0x1 0x5,imm,persist,,,,
74,0x4A,read,alu_slt_ab,40,0x28,m0005i,4,4,+0x29E4,0x80012850,0x09,0 3 2 0,0xA 0x1 0x4A 0x28,persist,cond,dst = (a < b) signed,slt,skip-if-false -> +0x3280,a
74,0x4A,read,alu_sge_ab,17,0x11,m0005i,4,4,+0x2A0C,0x80012850,0x09,0 3 2 0,0xC 0x2 0x4A 0x11,persist,cond,dst = (a >= b) signed,slt,skip-if-false -> +0x3280,a
74,0x4A,write,assign,40,0x28,m0005i,4,4,+0x2A34,0x800173F4,0x0A,2 0,0x4A 0x28,imm,persist,,,,
84,0x54,read,alu_and,8192,0x2000,m0005i,4,5,+0x2AD4,0x80012850,0x09,0 3 2 0,0x3 0x0 0x54 0x2000,persist,cond,dst = a & b,u32,skip-if-false -> +0x3230,a
84,0x54,read,alu_and,8192,0x2000,m0005i,4,5,+0x2DC8,0x80012850,0x09,0 3 2 0,0x3 0x0 0x54 0x2000,persist,cond,dst = a & b,u32,skip-if-false -> +0x360C,a
100,0x64,write,assign,,,m0005i,4,5,+0x2E80,0x800173F4,0x0A,2 1,0x64 0x8,actor_local,persist,,,,
84,0x54,read,alu_and,4294959103,0xFFFFDFFF,m0005i,4,5,+0x2EDC,0x80012850,0x09,0 3 2 0,0x3 0x0 0x54 0xFFFFDFFF,persist,cond,dst = a & b,u32,,a
84,0x54,write,assign,,,m0005i,4,5,+0x2EF4,0x800173F4,0x0A,2 3,0x54 0x0,cond,persist,,,,
84,0x54,read,alu_or,8192,0x2000,m0005i,4,5,+0x2F5C,0x80012850,0x09,0 3 2 0,0x2 0x0 0x54 0x2000,persist,cond,dst = a | b,u32,,a
84,0x54,write,assign,,,m0005i,4,5,+0x2F74,0x800173F4,0x0A,2 3,0x54 0x0,cond,persist,,,,
100,0x64,read,alu_eq,0,0x0,m0005i,4,5,+0x2F84,0x80012850,0x09,0 3 2 0,0xB 0x0 0x64 0x0,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x36C4,a
100,0x64,read,assign_from,,,m0005i,4,5,+0x2FC8,0x800173F4,0x0A,1 2,0x9 0x64,persist,actor_local,,,,
100,0x64,write,assign,0,0x0,m0005i,4,5,+0x301C,0x800173F4,0x0A,2 0,0x64 0x0,imm,persist,,,,
100,0x64,write,assign,,,m0005i,4,5,+0x30C8,0x800173F4,0x0A,2 1,0x64 0x8,actor_local,persist,,,,
84,0x54,read,alu_and,4294959103,0xFFFFDFFF,m0005i,4,5,+0x3130,0x80012850,0x09,0 3 2 0,0x3 0x0 0x54 0xFFFFDFFF,persist,cond,dst = a & b,u32,,a
84,0x54,write,assign,,,m0005i,4,5,+0x3148,0x800173F4,0x0A,2 3,0x54 0x0,cond,persist,,,,
8,0x8,read,assign_from,,,m0005i,4,6,+0x31B0,0x800173F4,0x0A,1 2,0x11 0x8,persist,actor_local,,,,
80,0x50,write,assign,,,m0005i,4,6,+0x32E8,0x800173F4,0x0A,2 1,0x50 0x12,actor_local,persist,,,,
10,0xA,read,alu_and,1,0x1,m0005i,4,6,+0x3474,0x80012850,0x09,0 3 2 0,0x3 0x0 0xA 0x1,persist,cond,dst = a & b,u32,,a
18,0x12,read,alu_and,3,0x3,m0005i,4,6,+0x39B0,0x80012850,0x09,0 3 2 0,0x3 0x0 0x12 0x3,persist,cond,dst = a & b,u32,,a
18,0x12,read,alu_and,,,m0005i,4,6,+0x3AF4,0x80012850,0x09,0 3 2 1,0x3 0x0 0x12 0xE,persist,cond,dst = a & b,u32,,a
18,0x12,write,assign,,,m0005i,4,6,+0x3B0C,0x800173F4,0x0A,2 3,0x12 0x0,cond,persist,,,,
18,0x12,read,alu_or,,,m0005i,4,6,+0x3B34,0x80012850,0x09,0 3 2 3,0x2 0x1 0x12 0x0,persist,cond,dst = a | b,u32,,a
18,0x12,write,assign,,,m0005i,4,6,+0x3B4C,0x800173F4,0x0A,2 3,0x12 0x1,cond,persist,,,,
10,0xA,read,alu_srav,2,0x2,m0005i,4,6,+0x3B94,0x80012850,0x09,0 3 2 0,0x12 0x0 0xA 0x2,persist,cond,dst = a >> b arithmetic,i32,,a
10,0xA,read,alu_and,,,m0005i,4,6,+0x3C5C,0x80012850,0x09,0 3 2 1,0x3 0x0 0xA 0xE,persist,cond,dst = a & b,u32,,a
10,0xA,write,assign,,,m0005i,4,6,+0x3C74,0x800173F4,0x0A,2 3,0xA 0x0,cond,persist,,,,
10,0xA,read,alu_or,,,m0005i,4,6,+0x3CEC,0x80012850,0x09,0 3 2 1,0x2 0x0 0xA 0xE,persist,cond,dst = a | b,u32,,a
10,0xA,write,assign,,,m0005i,4,6,+0x3D04,0x800173F4,0x0A,2 3,0xA 0x0,cond,persist,,,,
10,0xA,read,alu_and,1,0x1,m0005i,4,6,+0x3EB4,0x80012850,0x09,0 3 2 0,0x3 0x1 0xA 0x1,persist,cond,dst = a & b,u32,,a
8,0x8,read,alu_eq,0,0x0,m0005i,4,6,+0x3F90,0x80012850,0x09,0 3 2 0,0xB 0x0 0x8 0x0,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x3FD0,a
10,0xA,read,alu_and,2147483648,0x80000000,m0005i,4,6,+0x400C,0x80012850,0x09,0 3 2 0,0x3 0x1 0xA 0x80000000,persist,cond,dst = a & b,u32,skip-if-false -> +0x409C,a
8,0x8,read,alu_eq,0,0x0,m0005i,4,6,+0x4034,0x80012850,0x09,0 3 2 0,0xB 0x2 0x8 0x0,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x4074,a
10,0xA,read,alu_and,4,0x4,m0005i,4,6,+0x409C,0x80012850,0x09,0 3 2 0,0x3 0x0 0xA 0x4,persist,cond,dst = a & b,u32,,a
10,0xA,read,alu_and,1,0x1,m0005i,4,6,+0x4A28,0x80012850,0x09,0 3 2 0,0x3 0x1 0xA 0x1,persist,cond,dst = a & b,u32,,a
8,0x8,read,alu_eq,0,0x0,m0005i,4,6,+0x4C10,0x80012850,0x09,0 3 2 0,0xB 0x0 0x8 0x0,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x4C50,a
